Name,ScientificName,Category,Order,Family,Genus,ConservationStatus,MinLength,MaxLength,MinBodyMass,MaxBodyMass,MinWingspan,MaxWingspan
Townsend's warbler,Setophaga townsendi,New World warblers,Passeriformes,Parulidae,Setophaga,LC,11,13,8.8,8.8,20,20
Hermit warbler,Setophaga occidentalis,New World warblers,Passeriformes,Parulidae,Setophaga,LC,14,14,9,13,20,20
Black-throated green warbler,Setophaga virens,New World warblers,Passeriformes,Parulidae,Setophaga,LC,11,12,7,11,17,20
Canada warbler,Cardellina canadensis,New World warblers,Passeriformes,Parulidae,Cardellina,LC,12,15,9,13,17,22
Wilson's warbler,Cardellina pusilla,New World warblers,Passeriformes,Parulidae,Cardellina,LC,10,12,5,10,14,17
Painted redstart,Myioborus pictus,New World warblers,Passeriformes,Parulidae,Myioborus,LC,13,15,8,11,21,21
Summer tanager,Piranga rubra,Cardinals/Allies,Passeriformes,Cardinalidae,Piranga,LC,17,17,29,29,28,30
Scarlet tanager,Piranga olivacea,Cardinals/Allies,Passeriformes,Cardinalidae,Piranga,LC,16,19,23.5,38,25,30
Western tanager,Piranga ludoviciana,Cardinals/Allies,Passeriformes,Cardinalidae,Piranga,LC,16,19,24,36,29,29
Northern cardinal,Cardinalis cardinalis,Cardinals/Allies,Passeriformes,Cardinalidae,Cardinalis,LC,21,23.5,33.6,65,25,31
Rose-breasted grosbeak,Pheucticus ludovicianus,Cardinals/Allies,Passeriformes,Cardinalidae,Pheucticus,LC,18,22,35,65,29,33
Black-headed grosbeak,Pheucticus melanocephalus,Cardinals/Allies,Passeriformes,Cardinalidae,Pheucticus,LC,18,19,34,49,32,32
Blue grosbeak,Passerina caerulea,Cardinals/Allies,Passeriformes,Cardinalidae,Passerina,LC,14,19,26,31.5,26,29
Lazuli bunting,Passerina amoena,Cardinals/Allies,Passeriformes,Cardinalidae,Passerina,LC,13,15,13,18,22,22
Indigo bunting,Passerina cyanea,Cardinals/Allies,Passeriformes,Cardinalidae,Passerina,LC,11.5,15,11.2,21.4,18,23
Painted bunting,Passerina ciris,Cardinals/Allies,Passeriformes,Cardinalidae,Passerina,LC,12,14,13,19,21,23
Dickcissel,Spiza americana,Cardinals/Allies,Passeriformes,Cardinalidae,Spiza,LC,14,16,25.6,38.4,24.8,26
