,id,updated,confirmed,confirmed_change,deaths,deaths_change,recovered,recovered_change,load_time
203,52687114,2020-11-08,20423897,238744.0,738800,5911.0,12450681.0,292606.0,09:54.1
204,52986471,2020-12-08,20624316,200419.0,744649,5849.0,12631548.0,180867.0,09:54.1
205,53301563,2020-08-13,21036943,412627.0,749421,4772.0,12831800.0,200252.0,09:54.1
206,53626081,2020-08-14,21280608,243665.0,761926,12505.0,13048974.0,217174.0,09:54.1
207,53968267,2020-08-15,21582345,301737.0,767422,5496.0,13290879.0,241905.0,09:54.1
208,54300153,2020-08-16,21739501,157156.0,773469,6047.0,13590831.0,299952.0,09:54.1
209,54628821,2020-08-17,21974393,234892.0,776241,2772.0,13702873.0,112042.0,09:54.1
210,54954952,2020-08-18,22218441,244048.0,779562,3321.0,13934532.0,231659.0,09:54.1
211,55281106,2020-08-19,22515213,296772.0,782883,3321.0,14156538.0,222006.0,09:54.1
212,55596022,2020-08-20,22803344,288131.0,789825,6942.0,14381048.0,224510.0,09:54.1
213,55925660,2020-08-21,22954220,150876.0,796095,6270.0,14596332.0,215284.0,09:54.1
214,56255319,2020-08-22,23309597,355377.0,799350,3255.0,14715412.0,119080.0,09:54.1
215,56588811,2020-08-23,23424844,115247.0,806543,7193.0,15007062.0,291650.0,09:54.1
216,56903851,2020-08-24,23694646,269802.0,808716,2173.0,15150767.0,143705.0,09:54.1
217,57225503,2020-08-25,24011502,316856.0,814354,5638.0,15381104.0,230337.0,09:54.1
218,57593564,2020-08-26,24288572,277070.0,821909,7555.0,15636116.0,255012.0,09:54.1
219,57900498,2020-08-27,24563380,274808.0,828070,6161.0,15856795.0,220679.0,09:54.1
220,58210875,2020-08-28,24776988,213608.0,833466,5396.0,16051454.0,194659.0,09:54.1
221,58498609,2020-08-29,25051178,274190.0,837979,4513.0,16227851.0,176397.0,09:54.1
222,58804438,2020-08-30,25334339,283161.0,843586,5607.0,16451018.0,223167.0,09:54.1
223,59067883,2020-08-31,25584820,250481.0,848084,4498.0,16669974.0,218956.0,09:54.1
224,59351710,2020-01-09,25835301,250481.0,848084,0.0,16669974.0,0.0,09:54.1
225,59653305,2020-02-09,26140922,305621.0,858661,10577.0,17122192.0,452218.0,09:54.1
226,60004390,2020-03-09,26437886,296964.0,865467,6806.0,17387319.0,265127.0,09:54.1
227,60346226,2020-04-09,26622706,184820.0,871205,5738.0,17573533.0,186214.0,09:54.1
228,60680617,2020-05-09,26961795,339089.0,874708,3503.0,17717911.0,144378.0,09:54.1
